seed=4
gen=158	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=159	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=160	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=161	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=162	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=163	fitness=13.134802798973	position=[-0.962264, -0.004412, -0.030493, -1.026830, -0.005330, -0.024381, -1.043362, -0.006001, -2.981241, 0.000513]
gen=164	fitness=13.016125817587	position=[-0.955182, 0.026860, -0.013627, -1.030491, 0.025364, -0.003036, -1.019949, -0.015780, -2.986657, -0.012871]
gen=165	fitness=13.016125817587	position=[-0.955182, 0.026860, -0.013627, -1.030491, 0.025364, -0.003036, -1.019949, -0.015780, -2.986657, -0.012871]
gen=166	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=167	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=168	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=169	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=170	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=171	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=172	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
gen=173	fitness=12.882410262030	position=[-0.970553, 0.010176, -0.029271, -1.022273, 0.024969, 0.001530, -1.025931, -0.028208, -2.991015, -0.006543]
